AGENT A,AGENT B,GRID,A,B
RandomAgent,AvoidNextLossAgent,"(6, 7)",52,48
RandomAgent,MinimaxAgent,"(6, 7)",3,97
RandomAgent,ModelAgent,"(6, 7)",19,81
RandomAgent,NeuroevolutionAgent,"(6, 7)",26,74
AvoidNextLossAgent,MinimaxAgent,"(6, 7)",5,95
AvoidNextLossAgent,ModelAgent,"(6, 7)",15,85
AvoidNextLossAgent,NeuroevolutionAgent,"(6, 7)",38,62
MinimaxAgent,ModelAgent,"(6, 7)",100,0
MinimaxAgent,NeuroevolutionAgent,"(6, 7)",50,50
ModelAgent,NeuroevolutionAgent,"(6, 7)",0,100
RandomAgent,AvoidNextLossAgent,"(8, 9)",47,53
RandomAgent,MinimaxAgent,"(8, 9)",3,97
RandomAgent,ModelAgent,"(8, 9)",5,95
AvoidNextLossAgent,MinimaxAgent,"(8, 9)",2,98
AvoidNextLossAgent,ModelAgent,"(8, 9)",8,92
MinimaxAgent,ModelAgent,"(8, 9)",100,0
RandomAgent,AvoidNextLossAgent,"(10, 11)",37,63
RandomAgent,MinimaxAgent,"(10, 11)",1,99
RandomAgent,ModelAgent,"(10, 11)",2,98
AvoidNextLossAgent,MinimaxAgent,"(10, 11)",1,99
AvoidNextLossAgent,ModelAgent,"(10, 11)",1,99
MinimaxAgent,ModelAgent,"(10, 11)",100,0
RandomAgent,AvoidNextLossAgent,"(12, 13)",48,52
RandomAgent,MinimaxAgent,"(12, 13)",1,99
RandomAgent,ModelAgent,"(12, 13)",0,100
AvoidNextLossAgent,MinimaxAgent,"(12, 13)",0,100
AvoidNextLossAgent,ModelAgent,"(12, 13)",0,100
MinimaxAgent,ModelAgent,"(12, 13)",100,0
